id,created_at,place.name,full_text,cycling_similarity,cycling_rank,driving_similarity,driving_rank,walking_similarity,walking_rank,business_similarity,business_rank
1270325833157292032,Tue Jun 09 12:04:14 +0000 2020,Scugog,"Outdoor patio open here!!!!
#chipmunk
#COVID19
#patio https://t.co/TZDv4hSF5l",0.8645033240318298,43,0.7679519057273865,2735,0.7146336436271667,12509,0.9656179547309875,1
1259843989651546113,Mon May 11 13:53:08 +0000 2020,Travelers Rest,"Sections of our dining room is opening today with caution. We are opening some tables, but all the tables marked “seating closed” remain closed #socialdistancing @ Upcountry Provisions Bakery and Bistro https://t.co/ERbwhPro8i",0.8604525923728943,67,0.8235270380973816,211,0.7519776821136475,4508,0.9239405393600464,2
1253741062931255296,Fri Apr 24 17:42:17 +0000 2020,Gloria's Latin Cuisine,Choose your patio in #Colleyville. Some restaurants (but not all) in the city offer outside dining again. #socialdistancing https://t.co/lzrYKsJZom,0.8601468801498413,68,0.8093177080154419,420,0.7476338744163513,5130,0.9207693338394165,3
1264995733255659523,Mon May 25 19:04:19 +0000 2020,Bedford,Dining al fresco. Meet Harley the bulldog. #socialdistancing #CantEatMyCookingAnymore @ Copper Door Restaurant https://t.co/GgkGwyIKNX,0.8555654287338257,104,0.7576133012771606,4148,0.7557114958763123,3991,0.9054189920425415,4
1269367219517034497,Sat Jun 06 20:35:03 +0000 2020,Suisun City,Beautiful weather and plenty of outdoor seating as I do my part to restart the economy with a delicious champagne brunch. #covid19 #socialdistancing2020 #outdoordining @ Cast Iron Grill &amp; Bar https://t.co/YymrtQZTrw,0.8614986538887024,61,0.7505694627761841,5542,0.7417734265327454,6092,0.9053125977516174,5
1261060233050247168,Thu May 14 22:26:03 +0000 2020,Safford,We can seat you now: Gila Valley restaurants open their dining rooms https://t.co/h0Zg8XwnlS via @eacourier #safford #coronavirus #COVID19 #restaurants #CoronaVirusUpdate #Arizona,0.8224709630012512,833,0.8092367053031921,423,0.7003936767578125,17489,0.9049258232116699,6
1276912906064592903,Sat Jun 27 16:18:55 +0000 2020,Washington,Our full brunch menu is back! Including your favorites... the Steak and Egg Burrito and all of the Benedicts!  Patio and inside open with safety measures in place. Make reservations #saturdaybrunchin #socialdistancing #dontforgetyourmask https://t.co/BJkeL4gj15,0.8377309441566467,350,0.7726353406906128,2268,0.7169811725616455,11811,0.9013223052024841,7
1270652777149186048,Wed Jun 10 09:43:24 +0000 2020,Fairfax,"@justindotnet @GovernorVA Starting Friday, June 12, 2020 

Northern Virginia restaurants will be able to offer indoor dining at 50% capacity. Enjoy a nice dinner out! 

Fitness centers and gyms can open indoor areas at 30% capacity. 
Go workout! 

#COVID19",0.8133150339126587,1304,0.7849096655845642,1329,0.6862668991088867,24198,0.9001774191856384,8
1261054590755254273,Thu May 14 22:03:38 +0000 2020,Orlando,Venues that are open and have outdoor seating are spaced apart. #UniversalOrlando #COVID19 https://t.co/rf3ASjod2s,0.848341703414917,185,0.8135234117507935,336,0.7715590596199036,2331,0.9000819325447083,9
1258364538577137664,Thu May 07 11:54:19 +0000 2020,Atlantic City,"@MikeFOX29 Our Great Boardwalk is open to walk, run, or exercise thanks 🙏🏽 to our Mayor of Atlantic City @marty_small 
And our Cafes, Diners, Mexican Restaurants, Arab Restaurants, Chinese Restaurants, and Pizza Spots are open for take out, and deliveries 🚚 #DOAC #SocialDistancing Works👈🏽",0.8563467264175415,97,0.7889541387557983,1109,0.7571935653686523,3798,0.8936600685119629,10
1266491318617989121,Fri May 29 22:07:15 +0000 2020,Washington,Just made a reservation for 2 plus a pup tonight at our favorite local Mexican spot @LauriolPlazaRes for outdoor dining. So very excited to try this #SocialDistancing dining experience plus a few frozen swirl margaritas,0.8365993499755859,373,0.7564190626144409,4342,0.7281559705734253,8906,0.8921452164649963,11
1262483794839457793,Mon May 18 20:42:47 +0000 2020,Salem,"Tents are popping up outside restaurants in NH where dining JUST reopened! Only outdoor dining is allowed right now, with tables 6 feet apart.

I’ll show you what it’s like with the new guidelines at 5 &amp; 6PM @boston25 #COVID19 https://t.co/fCB9DixS5r",0.8375060558319092,358,0.8163056969642639,290,0.7753328680992126,2023,0.8914619088172913,12
1270408732443197440,Tue Jun 09 17:33:39 +0000 2020,Pinole,"“On Friday, the East Bay county allowed residents to go back to outdoor swimming pools, outdoor restaurants and dog parks, as well as outdoor religious services of up to 100 people. It also allowed for outdoor picnics and barbecues.” #COVID19 https://t.co/tnymQSaqCh",0.8289126753807068,587,0.8042866587638855,539,0.7546818256378174,4138,0.8901917338371277,13
1265733785229955073,Wed May 27 19:57:05 +0000 2020,Joplin,"Our Pandas and Bears practicing Social Distancing! ⁣⁣
⁣⁣
Our Cafe dining is now open to sit and eat. Soon our kitchen will open up to full service the menu! ⁣⁣
⁣⁣
#BigAppleCafe #BigAppleTravelCenter #SocialDistancing #Pandas #Bears https://t.co/re725I9LxL",0.8632673621177673,49,0.7909995913505554,995,0.7727939486503601,2222,0.8888170123100281,14
1261284590913761291,Fri May 15 13:17:34 +0000 2020,Lauderhill,"Dining on Dates Preview &gt; Reopening restaurants turn to mannequins, shower curtains, carhops and pulleys to keep diners distant: https://t.co/VJL9KqWQGj #restaurants #COVID19 #dining #food #dating #datingagency by @washingtonpost",0.8343873620033264,421,0.7834864258766174,1422,0.7273449897766113,9086,0.8880462646484375,15
