,word,frequency,in_Stanford_model,mobility,stay_home,essential_services,public_space,personal_effect,health
200,isnt,2687,True,,,,,,
201,looking,2682,True,,,,,,
202,lot,2675,True,,,,,,
203,now.,2671,True,,,,,,
204,team,2656,True,,,,,,
205,something,2653,True,,,,,,
206,others,2649,True,,,,,,
207,total,2648,True,,,,,,
208,hes,2641,True,,,,,,
209,ever,2634,True,,,,,,
210,million,2628,True,,,,,,
211,government,2628,True,,,,,,
212,#lockdown,2598,False,,,,,,
213,died,2591,True,,,,,,
214,#coronavirus.,2587,False,,,,,,
215,kids,2579,True,,,,,,
216,businesses,2556,True,,,,,,
217,front,2554,True,,,,,,
218,wearing,2550,True,,,,,,
219,numbers,2547,True,,,,,,
220,number,2540,True,,,,,,
221,job,2536,True,,,,,,
222,remember,2521,True,,,,,,
223,#corona,2517,False,,,,,,
224,latest,2515,True,,,,,,
225,small,2514,True,,,,,,
226,tell,2491,True,,,,,,
227,already,2467,True,,,,,,
228,staff,2464,True,,,,,,
229,place,2462,True,,,,,,
230,park,2424,True,,,,,,
231,w/,2424,False,,,,,,
232,full,2400,True,,,,,,
233,ill,2399,True,,,,,,
234,risk,2396,True,,,,,,
235,years,2388,True,,,,,,
236,data,2378,True,,,,,,
237,coronavirus:,2376,False,,,,,,
238,yet,2370,True,,,,,,
239,heres,2335,True,,,,,,
240,lost,2325,True,,,,,,
241,wont,2311,True,,,,,,
242,florida,2310,True,,,,,,
243,outside,2290,True,,,,,,
244,american,2285,True,,,,,,
245,school,2285,True,,,,,,
246,confirmed,2258,True,,,,,,
247,able,2245,True,,,,,,
248,watching,2241,True,,,,,,
249,yall,2219,True,,,,,,
250,theres,2212,True,,,,,,
251,update,2211,True,,,,,,
252,hear,2205,True,,,,,,
253,helping,2203,True,,,,,,
254,families,2202,True,,,,,,
255,least,2197,True,,,,,,
256,#stayhomesavelives,2193,False,,,,,,
257,global,2190,True,,,,,,
258,old,2187,True,,,,,,
259,across,2183,True,,,,,,
260,needed,2177,True,,,,,,
261,de,2176,True,,,,,,
262,enough,2171,True,,,,,,
263,amazing,2166,True,,,,,,
264,believe,2163,True,,,,,,
265,might,2162,True,,,,,,
266,case,2161,True,,,,,,
267,tonight,2158,True,,,,,,
268,everything,2157,True,,,,,,
269,ready,2152,True,,,,,,
270,god,2148,True,,,,,,
271,closed,2146,True,,,,,,
272,story,2138,True,,,,,,
273,students,2135,True,,,,,,
274,person,2134,True,,,,,,
275,tests,2134,True,,,,,,
276,using,2134,True,,,,,,
277,economy,2131,True,,,,,,
278,hey,2130,True,,,,,,
279,night,2128,True,,,,,,
280,america,2124,True,,,,,,
281,china,2122,True,,,,,,
282,online,2115,True,,,,,,
283,bad,2114,True,,,,,,
284,money,2112,True,,,,,,
285,theyre,2111,True,,,,,,
286,this.,2101,True,,,,,,
287,miss,2093,True,,,,,,
288,wait,2092,True,,,,,,
289,else,2078,True,,,,,,
290,sick,2071,True,,,,,,
291,whats,2070,True,,,,,,
292,emergency,2069,True,,,,,,
293,todays,2066,True,,,,,,
294,walk,2063,True,,,,,,
295,virtual,2044,True,,,,,,
296,nothing,2037,True,,,,,,
297,close,2036,True,,,,,,
298,save,2017,True,,,,,,
299,line,2015,True,,,,,,
300,via,2000,True,,,,,,
301,living,1998,True,,,,,,
302,thought,1997,True,,,,,,
303,safety,1997,True,,,,,,
304,staying,1995,True,,,,,,
305,media,1994,True,,,,,,
306,far,1994,True,,,,,,
307,home.,1981,True,,,,,,
308,talk,1979,True,,,,,,
309,beautiful,1978,True,,,,,,
310,proud,1976,True,,,,,,
311,maybe,1962,True,,,,,,
312,man,1959,True,,,,,,
313,time.,1946,True,,,,,,
314,available,1936,True,,,,,,
315,learn,1933,True,,,,,,
316,high,1932,True,,,,,,
317,friend,1923,True,,,,,,
318,took,1913,True,,,,,,
319,went,1904,True,,,,,,
320,post,1901,True,,,,,,
321,die,1898,True,,,,,,
322,follow,1887,True,,,,,,
323,seen,1886,True,,,,,,
324,impact,1883,True,,,,,,
325,beach,1876,True,,,,,,
326,service,1875,True,,,,,,
327,keeping,1866,True,,,,,,
328,national,1862,True,,,,,,
329,information,1860,True,,,,,,
330,makes,1834,True,,,,,,
331,especially,1834,True,,,,,,
332,months,1833,True,,,,,,
333,plan,1829,True,,,,,,
334,you.,1826,True,,,,,,
335,practice,1821,True,,,,,,
336,soon,1813,True,,,,,,
337,sign,1812,True,,,,,,
338,store,1804,True,,,,,,
339,listen,1784,True,,,,,,
340,tomorrow,1778,True,,,,,,
341,residents,1775,True,,,,,,
342,hit,1771,True,,,,,,
343,pay,1769,True,,,,,,
344,run,1763,True,,,,,,
345,hands,1758,True,,,,,,
346,healthy,1754,True,,,,,,
347,governor,1741,True,,,,,,
348,weve,1740,True,,,,,,
349,told,1737,True,,,,,,
350,#coronavirusoutbreak,1731,False,,,,,,
351,saying,1729,True,,,,,,
352,folks,1729,True,,,,,,
353,early,1727,True,,,,,,
354,#washyourhands,1724,False,,,,,,
355,including,1718,True,,,,,,
356,texas,1717,True,,,,,,
357,seeing,1716,True,,,,,,
358,whole,1716,True,,,,,,
359,white,1705,True,,,,,,
360,talking,1704,True,,,,,,
361,less,1703,True,,,,,,
362,yes,1698,True,,,,,,
363,employees,1698,True,,,,,,
364,la,1697,True,,,,,,
365,used,1696,True,,,,,,
366,doctors,1691,True,,,,,,
367,yesterday,1690,True,,,,,,
368,month,1672,True,,,,,,
369,actually,1667,True,,,,,,
370,u,1655,True,,,,,,
371,#,1650,True,,,,,,
372,found,1646,True,,,,,,
373,crisis.,1643,False,,,,,,
374,fighting,1640,True,,,,,,
375,grocery,1639,True,,,,,,
376,friday,1634,True,,,,,,
377,per,1621,True,,,,,,
378,day.,1620,True,,,,,,
379,gonna,1620,True,,,,,,
380,provide,1618,True,,,,,,
381,members,1617,True,,,,,,
382,fun,1610,True,,,,,,
383,black,1605,True,,,,,,
384,march,1605,True,,,,,,
385,#love,1603,True,,,,,,
386,relief,1600,True,,,,,,
387,human,1596,True,,,,,,
388,weekend,1595,True,,,,,,
389,lockdown,1592,True,,,,,,
390,distance,1591,True,,,,,,
391,normal,1591,True,,,,,,
392,practicing,1589,True,,,,,,
393,finally,1582,True,,,,,,
394,frontline,1582,True,,,,,,
395,leadership,1580,True,,,,,,
396,los,1580,True,,,,,,
397,reopen,1578,True,,,,,,
398,reopening,1575,True,,,,,,
399,current,1574,True,,,,,,
400,past,1570,True,,,,,,
401,different,1564,True,,,,,,
402,ago,1561,True,,,,,,
403,hours,1557,True,,,,,,
404,understand,1555,True,,,,,,
405,try,1552,True,,,,,,
406,symptoms,1552,True,,,,,,
407,change,1548,True,,,,,,
408,nice,1543,True,,,,,,
409,arent,1542,True,,,,,,
410,hand,1531,True,,,,,,
411,ask,1528,True,,,,,,
412,starting,1521,True,,,,,,
413,hospitals,1519,True,,,,,,
414,anything,1518,True,,,,,,
415,almost,1517,True,,,,,,
416,office,1517,True,,,,,,
417,started,1513,True,,,,,,
418,mean,1508,True,,,,,,
419,:,1505,True,,,,,,
420,called,1504,True,,,,,,
421,easter,1499,True,,,,,,
422,looks,1498,True,,,,,,
423,link,1496,True,,,,,,
424,forward,1495,True,,,,,,
425,south,1494,True,,,,,,
426,sunday,1486,True,,,,,,
427,shit,1484,True,,,,,,
428,nurses,1481,True,,,,,,
429,giving,1480,True,,,,,,
430,message,1478,True,,,,,,
431,havent,1469,True,,,,,,
432,federal,1467,True,,,,,,
433,leaders,1467,True,,,,,,
434,instead,1464,True,,,,,,
435,point,1459,True,,,,,,
436,vaccine,1458,True,,,,,,
437,people.,1453,True,,,,,,
438,contact,1451,True,,,,,,
439,wants,1449,True,,,,,,
440,communities,1448,True,,,,,,
441,left,1445,True,,,,,,
442,economic,1442,True,,,,,,
443,set,1438,True,,,,,,
444,press,1436,True,,,,,,
445,bring,1433,True,,,,,,
446,questions,1433,True,,,,,,
447,us.,1432,True,,,,,,
448,#coronavirususa,1426,False,,,,,,
449,ones,1417,True,,,,,,
450,#newyork,1414,False,,,,,,
451,center,1412,True,,,,,,
452,visit,1412,True,,,,,,
453,feeling,1411,True,,,,,,
454,pretty,1410,True,,,,,,
455,seems,1409,True,,,,,,
456,saw,1408,True,,,,,,
457,true,1408,True,,,,,,
458,services,1407,True,,,,,,
459,u.s.,1405,True,,,,,,
460,loved,1405,True,,,,,,
461,oh,1404,True,,,,,,
462,#usa,1403,True,,,,,,
463,waiting,1399,True,,,,,,
464,system,1391,True,,,,,,
465,updates,1387,True,,,,,,
466,report,1381,True,,,,,,
467,thinking,1379,True,,,,,,
468,children,1376,True,,,,,,
469,nyc,1375,True,,,,,,
470,means,1374,True,,,,,,
471,#covid2019,1374,False,,,,,,
472,leave,1372,True,,,,,,
473,me.,1368,True,,,,,,
474,united,1368,True,,,,,,
475,came,1366,True,,,,,,
476,monday,1363,True,,,,,,
477,#coronavirusupdate,1357,False,,,,,,
478,grateful,1356,True,,,,,,
479,#covidiots,1354,False,,,,,,
480,id,1348,True,,,,,,
481,air,1347,True,,,,,,
482,resources,1347,True,,,,,,
483,#trumpvirus,1346,False,,,,,,
484,dead,1343,True,,,,,,
485,rest,1342,True,,,,,,
486,reported,1339,True,,,,,,
487,access,1338,True,,,,,,
488,top,1331,True,,,,,,
489,#shelterinplace,1329,False,,,,,,
490,dying,1328,True,,,,,,
491,north,1328,True,,,,,,
492,play,1328,True,,,,,,
493,rate,1328,True,,,,,,
494,comes,1322,True,,,,,,
495,possible,1321,True,,,,,,
496,disease,1317,True,,,,,,
497,#florida,1312,False,,,,,,
498,act,1312,True,,,,,,
499,toll,1290,True,,,,,,
